"Project: Project Name","Stage Reason","Dealertrack ID","Start Date","Service Account(s) (DMKT)","Service Account (DMKT)"
"BOA - KANSAS - Friesen Chrysler Dodge Jeep Ram","DT Enrollment Needed","822201","1/22/2020","","friesenchryslerdodgejeepramlend"
"BOA - WA - Autonation Honda of Renton - Project -","AutoNation","827614","11/14/2017","",""
"BOA - CALIFORNIA - SIMPSON CHEVROLET OF Irvine","RouteOne","831294","7/23/2019","",""
"BOA - MICHIGAN - My Certified Used Cars","RouteOne","831989","8/20/2018","",""
"BOA - CALIFORNIA - Chevrolet Buick GMC of Sanger","RouteOne","839290","8/16/2019","",""
"BOA - GEORGIA - Butler Chevrolet","RouteOne","843776","11/19/2018","",""
"BOA - CALIFORNIA - Downtown Toyota of Oakland","DT Enrollment Needed","846177","4/6/2020","",""
"BOA - ARIZONA - Courtesy Chrysler Dodge Jeep Ram of Superstition Springs","RouteOne","846194","5/16/2019","",""
"BOA - TX - AutoNation Hyundai Corpus Christi - Project -","AutoNation","849208","11/14/2017","",""
"BOA - OHIO - Lebanon Ford","RouteOne","849974","5/16/2019","","lebanonfordoh"
"BOA - OHIO - Springfield Buick GMC","RouteOne","852817","5/16/2019","",""
"BOA - MI - MATICK TOYOTA - Project -","RouteOne","853990","1/19/2018","",""
"BOA - LOUISIANA - BILLY NAVARRE GMC","RouteOne","856080","3/21/2019","",""
"BOA - TX - AUTONATION USA CORPUS CHRISTI - Project -","AutoNation","859519","11/13/2017","",""
"BOA - VIRGINIA - ROSSER MOTORSPORTS LLC","DT Enrollment Needed","862344","11/5/2019","",""
"BOA - CA - AutoNation Chrysler Dodge Jeep Ram Valencia - Project -","AutoNation","865146","11/13/2017","",""
"BOA - ILLINOIS - Phillips Auto Group of Bradley","RouteOne","865441","5/16/2019","",""
"BOA - CA - BMW Encinitas - Project -","AutoNation","865765","11/13/2017","",""
"BOA - OHIO - SAI COLUMBUS VWK LLC DBA","RouteOne","867273","11/8/2019","",""
"BOA - FLORIDA - Subaru Fort Walton Beach","Failure to Launch","868667","8/20/2019","",""
"BOA - TEXAS - GBC 4E LLC","RouteOne","869059","4/6/2020","eldercdjrcedarcreeklend",""
"BOA - OHIO - Carvana","Inventory Delay","870782","3/27/2020","carvanaohlend",""
"BOA - MISSISSIPPI - Mac Haik CDJR Madison","RouteOne","874389","4/3/2019","",""
"BOA - CA - Mercedes-Benz of San Jose - Project -","AutoNation","874597","11/14/2017","",""
"BOA - TEXAS - Jaguar Land Rover West Houston","Inventory Delay","875264","6/10/2019","",""
"BOA - NY - BMW of Mt. Kisco - Project -","AutoNation","875564","11/14/2017","",""
"BOA - NY - Jaguar White Plains - Project -","AutoNation","876102","11/14/2017","",""
"BOA - NY - Land Rover Mt. Kisco - Project -","AutoNation","876103","11/14/2017","",""
"BOA - NY - Jaguar LandRover Larchmont/ New Rochelle - Project -","AutoNation","876104","11/13/2017","",""
"BOA - ILLINOIS - OBrien Lexus of Peoria","DT Enrollment Needed","880334","2/3/2020","obrienlexusofpeorialend",""
"BOA - CALIFORNIA - Monrovia Chrysler Dodge Jeep Ram","Inventory Delay","881518","2/21/2020","",""
"BOA - TEXAS - Mac Haik Spring","DT Enrollment Needed","881919","4/15/2020","machaikpreownedtxlend",""
"BOA - MINNESOTA - Northfield Chrysler Dodge Jeep Ram Ford","RouteOne","887013","1/31/2020","",""
"BOA - TEXAS - Planet Lincoln Love Field","DT Enrollment Needed","890455","7/2/2020","",""
"BOA - NY - JIM MURPHY CHEVROLET BUICK OF Springville - Project -","RouteOne","892784","9/19/2017","",""
"BOA - GA - Autonation Volkswagen Mall of Georgia - Project -","AutoNation","896192","11/14/2017","",""
"BOA - ALABAMA - DOCS CHEVROLET BUICK GMC LLC","RouteOne","896725","7/30/2019","",""
"BOA - WA - Jaguar Land Rover Spokane - Project -","AutoNation","896944","11/14/2017","",""
"BOA - NV - Mercedes Benz of Reno - Project -","AutoNation","896945","11/13/2017","",""
"BOA - VIRGINIA - Bomnin Chevrolet Manassas","RouteOne","901371","9/13/2018","",""
"BOA - OKLAHOMA - Byford Buick Gmc","RouteOne","901834","7/5/2019","",""
"BOA - CO - AUTONATION CHRYSLER JEEP ARAPAHOE - Project -","AutoNation","903128","11/13/2017","",""
